problem_id,language,original_status,original_src,changed_src,change,error,stderr,error_type,original_code_length,changed_code_length,code_length_difference,change_count
p02258,Python,Time Limit Exceeded,N = int(input()) R = [int(input()) for i in range(N)] sa = R[N - 1] - R[N - 2] for i in reversed(range(N)): for j in reversed(range(i)): tmp = R[i] - R[j] if tmp > sa: sa = tmp print(sa),"N = int(input()) R = [int(input()) for i in range(N)] min_v = R[0] max_v = R[1] - R[0] for i in range(1, len(R)): if min_v > R[i - 1]: min_v = R[i - 1] if max_v < R[i] - min_v: max_v = R[i] - min_v print(max_v)",replace,TLE,No stderr available,Time Limit Exceeded,186,210,24,0
p02268,Python,Runtime Error,# -*- coding: utf-8 -*- input() s = set(input().split()) input() t = set(input().split()) print(int(s & t)),# -*- coding: utf-8 -*- input() s = set(input().split()) input() t = set(input().split()) print(len(s & t)),replace,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'set'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s343168177.py"", line 7, in <module>
    print(int(s & t))
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'set'
",Runtime Error,107,107,0,0
p02268,Python,Runtime Error,"def binarySearch(array, key): left = 0 right = len(array) while left < right: mid = (left + right) / 2 if key == array[mid]: return True elif key > array[mid]: left = mid + 1 elif key < array[mid]: right = mid else: print(""ERROR"") return False n = int(input()) s = [int(x) for x in input().split()] q = int(input()) t = [int(x) for x in input().split()] a = [x for x in t if binarySearch(s, x)] print(len(a))","def binarySearch(array, key): left = 0 right = len(array) while left < right: mid = int((left + right) / 2) if key == array[mid]: return True elif key > array[mid]: left = mid + 1 elif key < array[mid]: right = mid else: print(""ERROR"") return False n = int(input()) s = [int(x) for x in input().split()] q = int(input()) t = [int(x) for x in input().split()] a = [x for x in t if binarySearch(s, x)] print(len(a))",replace,"TypeError: list indices must be integers or slices, not float","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s716545650.py"", line 21, in <module>
    a = [x for x in t if binarySearch(s, x)]
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s716545650.py"", line 21, in <listcomp>
    a = [x for x in t if binarySearch(s, x)]
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02268/Python/s716545650.py"", line 6, in binarySearch
    if key == array[mid]:
TypeError: list indices must be integers or slices, not float
",Runtime Error,408,413,5,0
p02274,Python,Time Limit Exceeded,"n = int(input()) nd = list(map(int, input().split())) c = 0 for i in range(n): m = min(nd) index = nd.index(m) nd.remove(m) c += index print(c)","n = int(input()) nlist = list(map(int, input().split())) W = [0 for i in range(n)] def M(l, r): ##l~r-1 까지의 리스트. if l + 1 >= r: return 0 elif l + 2 == r: if nlist[l] <= nlist[l + 1]: return 0 else: nlist[l], nlist[l + 1] = nlist[l + 1], nlist[l] return 1 ##위의 if문으로 (r-l)가 2이하일 경우는 해놓음 m = (l + r) // 2 i = l j = m k = l cl = M(l, m) cr = M(m, r) c = 0 while i < m and j < r: if nlist[i] <= nlist[j]: W[k] = nlist[i] ##l부터 r까지 W에 크기순으로 대입해나감 k += 1 i += 1 else: W[k] = nlist[j] ##일단 W[k]에는 더 작은쪽을 저장하는듯 k += 1 j += 1 c += m - i ##만약 nlist[i] > nlist[j]라면 i~m-1 까지 반전 하고있기 때문 ##그러고 더 작은 nlist[j]를 안에 넣는것. while i < m: ##i번째쪽에 더 큰것들이 남았을 경우 (j=r 이 되있는 상황이기에 더 반전수를 늘리지는 않음) W[k] = nlist[i] k += 1 i += 1 while j < r: ##j쪽에 큰게 남아있는경우도 동일 W[k] = nlist[j] k += 1 j += 1 for i in range(l, r): nlist[i] = W[i] return cl + cr + c print(M(0, n))",replace,TLE,No stderr available,Time Limit Exceeded,143,836,693,0
p02361,Python,Runtime Error,"import sys import queue class Dijkstra: class Edge: def __init__(self, end, cost): self.to = end self.cost = cost def __init__(self, node_size, inf): self._node = node_size self._graph = [[] for _ in range(self._node)] self.inf = inf self.dist = [self.inf for _ in range(self._node)] def add_edge(self, st, ed, cs): self._graph[st].append(self.Edge(ed, cs)) def solve(self, start): que = queue.PriorityQueue() self.dist[start] = 0 que.put((0, start)) while que: cur_cost, cur_vertex = que.get() if self.dist[cur_vertex] < cur_cost: continue for e in self._graph[cur_vertex]: if self.dist[e.to] > cur_cost + e.cost: self.dist[e.to] = cur_cost + e.cost que.put((self.dist[e.to], e.to)) if __name__ == ""__main__"": V, E, r = map(int, sys.stdin.readline().split()) dk = Dijkstra(V, 10**10) for i in range(E): s, t, d = map(int, sys.stdin.readline().split()) dk.add_edge(s, t, d) dk.solve(r) for value in dk.dist: if value == dk.inf: print(""INF"") else: print(value)","import sys import queue class Dijkstra: class Edge: def __init__(self, end, cost): self.to = end self.cost = cost def __init__(self, node_size, inf): self._node = node_size self._graph = [[] for _ in range(self._node)] self.inf = inf self.dist = [self.inf for _ in range(self._node)] def add_edge(self, st, ed, cs): self._graph[st].append(self.Edge(ed, cs)) def solve(self, start): que = queue.PriorityQueue() self.dist[start] = 0 que.put((0, start)) while not que.empty(): cur_cost, cur_vertex = que.get() if self.dist[cur_vertex] < cur_cost: continue for e in self._graph[cur_vertex]: if self.dist[e.to] > cur_cost + e.cost: self.dist[e.to] = cur_cost + e.cost que.put((self.dist[e.to], e.to)) if __name__ == ""__main__"": V, E, r = map(int, sys.stdin.readline().split()) dk = Dijkstra(V, 10**10) for i in range(E): s, t, d = map(int, sys.stdin.readline().split()) dk.add_edge(s, t, d) dk.solve(r) for value in dk.dist: if value == dk.inf: print(""INF"") else: print(value)",replace,TLE,No stderr available,Runtime Error,959,971,12,0
p02379,Python,Runtime Error,"import math x1, y1, x2, y2 = map(int, input().split()) print(f""{math.sqrt((x2-x1)**2+(y2-y1)**2):.8f}"")","import math x1, y1, x2, y2 = map(float, input().split()) print(f""{math.sqrt((x2-x1)**2+(y2-y1)**2):.8f}"")",replace,0,No stderr available,Runtime Error,103,105,2,0
p02379,Python,Runtime Error,"x1, y1, x2, y2 = map(int, input().split()) print(""%.8f"" % (((x2 - x1) ** 2 + (y2 - y1) ** 2)) ** 0.5)","x1, y1, x2, y2 = map(float, input().split()) print(""%.8f"" % (((x2 - x1) ** 2 + (y2 - y1) ** 2)) ** 0.5)",replace,0,No stderr available,Runtime Error,101,103,2,0
p02379,Python,Runtime Error,"# -*- coding: utf-8 -*- import math x1, y1, x2, y2 = map(int, input().split()) dis = math.sqrt((x1 + x2) * (x1 + x2) + (y1 + y2) * (y1 + y2)) print(dis)","# -*- coding: utf-8 -*- import math x1, y1, x2, y2 = map(float, input().split()) dis = math.sqrt((x1 - x2) * (x1 - x2) + (y1 - y2) * (y1 - y2)) print(dis)",replace,0,No stderr available,Runtime Error,152,154,2,0
p02381,Python,Runtime Error,from statistics import pstdev while True: data_count = int(input()) if data_count == 0: break print(pstdev(sum(int(x) for x in input().split()))),from statistics import pstdev while True: data_count = int(input()) if data_count == 0: break print(pstdev(int(x) for x in input().split())),replace,TypeError: 'int' object is not iterable,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02381/Python/s197979549.py"", line 6, in <module>
    print(pstdev(sum(int(x) for x in input().split())))
  File ""/usr/lib/python3.10/statistics.py"", line 847, in pstdev
    var = pvariance(data, mu)
  File ""/usr/lib/python3.10/statistics.py"", line 807, in pvariance
    if iter(data) is data:
TypeError: 'int' object is not iterable
",Runtime Error,145,140,-5,0
p02381,Python,Runtime Error,"# -*- coding: utf-8 -*- import math while True: n = int(input()) if n == 0: break s = list(map(float, input().split())) mean = sum(s) / len(s) for i in range(len(s)): s[i] = (s[i] - sum) * (s[i] - sum) variance = sum(s) / len(s) stdev = math.sqrt(variance) print(stdev)","# -*- coding: utf-8 -*- import math while True: n = int(input()) if n == 0: break s = list(map(float, input().split())) mean = sum(s) / len(s) for i in range(len(s)): s[i] = (s[i] - mean) * (s[i] - mean) variance = sum(s) / len(s) stdev = math.sqrt(variance) print(stdev)",replace,TypeError: unsupported operand type(s) for -: 'float' and 'builtin_function_or_method',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02381/Python/s289178962.py"", line 15, in <module>
    s[i] = (s[i] - sum) * (s[i] - sum)
TypeError: unsupported operand type(s) for -: 'float' and 'builtin_function_or_method'
",Runtime Error,269,271,2,0
p02388,Python,Runtime Error,x = input() print(x**3),x = input() x = int(x) print(x**3),insert,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s725747490.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,23,34,11,0
p02388,Python,Runtime Error,x = input() print(x**3),x = int(input()) print(x**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s709080194.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,23,28,5,0
p02388,Python,Runtime Error,n = input() print(n * n * n),s = input() n = int(s) print(n**3),replace,TypeError: can't multiply sequence by non-int of type 'str',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s234463127.py"", line 2, in <module>
    print(n * n * n)
TypeError: can't multiply sequence by non-int of type 'str'
",Runtime Error,28,34,6,0
p02388,Python,Runtime Error,x = input() print(x**3),x = input() x = int(x) print(x**3),insert,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s056318749.py"", line 3, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,23,34,11,0
p02388,Python,Runtime Error,num = input() print(num**3),num_str = input() num = int(num_str) print(num**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s367615831.py"", line 3, in <module>
    print(num ** 3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,27,50,23,0
p02388,Python,Runtime Error,print(input() ** 3),i = int(input()) print(i**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s667447252.py"", line 1, in <module>
    print(input()**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,19,28,9,0
p02388,Python,Runtime Error,input = input() print(input**3),input = input() print(int(input) ** 3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s516531505.py"", line 2, in <module>
    print(input**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,31,38,7,0
p02388,Python,Runtime Error,print(input() ** 3),print(int(input()) ** 3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s557766359.py"", line 1, in <module>
    print(input()**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,19,24,5,0
p02388,Python,Runtime Error,x = input() print(x**3),x = int(input()) print(x**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s482874964.py"", line 3, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,23,28,5,0
p02388,Python,Runtime Error,print(input() ** 3),print(int(input()) ** 3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s627402686.py"", line 1, in <module>
    print(input() ** 3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,19,24,5,0
p02388,Python,Runtime Error,N = input() print(N**3),N = int(input()) print(N**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s645472377.py"", line 2, in <module>
    print(N**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,23,28,5,0
p02388,Python,Runtime Error,x = input() ans = x * x * x print(ans),x = int(input()) ans = x * x * x print(ans),replace,TypeError: can't multiply sequence by non-int of type 'str',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s517488440.py"", line 3, in <module>
    ans = x * x * x
TypeError: can't multiply sequence by non-int of type 'str'
",Runtime Error,38,43,5,0
p02388,Python,Runtime Error,x = input() print(x**3),x = int(input()) print(x**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s996581497.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,23,28,5,0
p02388,Python,Runtime Error,x = input(()) print(x**3),x = int(input()) print(x**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s164445315.py"", line 4, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,25,28,3,0
p02388,Python,Runtime Error,print(int(input) ** 3),print(int(input()) ** 3),replace,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s322584303.py"", line 1, in <module>
    print(int(input)**3)
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'
",Runtime Error,22,24,2,0
p02388,Python,Runtime Error,import sys args = sys.argv num = int(args[1]) print(str(num**3)),s = input() num = int(s) print(str(num**3)),replace,IndexError: list index out of range,"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s550015206.py"", line 5, in <module>
    num = int(args[1])
IndexError: list index out of range
",Runtime Error,64,43,-21,0
p02388,Python,Runtime Error,print(input() ** 3),print(int(input()) ** 3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s376152712.py"", line 1, in <module>
    print(input() ** 3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,19,24,5,0
p02388,Python,Runtime Error,x = input() print(x * x * x),x = int(input()) print(x * x * x),replace,TypeError: can't multiply sequence by non-int of type 'str',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s272745096.py"", line 3, in <module>
    print(x * x * x)
TypeError: can't multiply sequence by non-int of type 'str'
",Runtime Error,28,33,5,0
p02388,Python,Runtime Error,x = input() print(x**3),input_1 = int(input()) cal = (input_1) ** 3 print(cal),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s257611309.py"", line 2, in <module>
    print(x**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,23,54,31,0
p02388,Python,Runtime Error,x = input() y = x**3 print(y),x = input() print(x**3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s666518215.py"", line 3, in <module>
    y = x ** 3
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,29,23,-6,0
p02388,Python,Runtime Error,print(input() ** 3),print(int(input()) ** 3),replace,TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int',"Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s844443016.py"", line 1, in <module>
    print(input()**3)
TypeError: unsupported operand type(s) for ** or pow(): 'str' and 'int'
",Runtime Error,19,24,5,0
p02388,Python,Runtime Error,x = int(input()) print(**3),x = int(input()) print(x**3),replace,"TypeError: print() argument after ** must be a mapping, not int","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s451360688.py"", line 2, in <module>
    print(**3)
TypeError: print() argument after ** must be a mapping, not int
",Runtime Error,27,28,1,0
p02388,Python,Runtime Error,print(int(input) ** 3),print(int(input()) ** 3),replace,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s844330584.py"", line 1, in <module>
    print(int(input)**3)
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'
",Runtime Error,22,24,2,0
p02388,Python,Runtime Error,print(int(input) ** 3),print(int(input()) ** 3),replace,"TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'","Traceback (most recent call last):
  File ""/home/alex/Documents/bug-detection/input/Project_CodeNet/data/p02388/Python/s120361537.py"", line 1, in <module>
    print(int(input)**3)
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'builtin_function_or_method'
",Runtime Error,22,24,2,0
